2693968151981071411 [9, 1719, 3424, 5129, 6834, 8539]
6292689262317996230 [11, 1721, 3426, 5131, 6836, 8541]
-266293884288280155 [12, 1722, 3427, 5132, 6837, 8542]
-6251342998694196209 [25, 1735, 3440, 5145, 6850, 8555]
-6259753135605348463 [26, 1736, 3441, 5146, 6851, 8556]
-7215613632022646697 [27, 1737, 3442, 5147, 6852, 8557]
-7267069581144234192 [28, 1738, 3443, 5148, 6853, 8558]
-6459475901133744252 [33, 1743, 3448, 5153, 6858, 8563]
-8210740363799379263 [75, 1785, 3490, 5195, 6900, 8605]
-6140732683489715366 [109, 1824, 3529, 5234, 6939, 8644]
7518663502499695751 [118, 1838, 3543, 5248, 6953, 8658]
5420266962871897509 [223, 1933, 3638, 5343, 7048, 8753]
432134511996870456 [304, 2009, 3714, 5419, 7124, 8829]
5020701522410512359 [305, 2010, 3715, 5420, 7125, 8830]
-7577388195713612189 [306, 2011, 3716, 5421, 7126, 8831]
-6251954495598837084 [307, 2012, 3717, 5422, 7127, 8832]
7479085230010150559 [308, 2013, 3718, 5423, 7128, 8833]
404192711703207154 [309, 2014, 3719, 5424, 7129, 8834]
-8731578750913382342 [310, 2015, 3720, 5425, 7130, 8835]
-1741086124743765111 [311, 2016, 3721, 5426, 7131, 8836]
-6434716153236627193 [312, 2017, 3722, 5427, 7132, 8837]
234173718989221676 [313, 2018, 3723, 5428, 7133, 8838]
3589559543073382408 [314, 2019, 3724, 5429, 7134, 8839]
3853927420399216875 [315, 2020, 3725, 5430, 7135, 8840]
8622441053890936186 [316, 2021, 3726, 5431, 7136, 8841]
3683531976281600776 [317, 2022, 3727, 5432, 7137, 8842]
4117856418611333203 [318, 2023, 3728, 5433, 7138, 8843]
-2827673503454068361 [319, 2024, 3729, 5434, 7139, 8844]
4820636254184023344 [320, 2025, 3730, 5435, 7140, 8845]
5818021054468728706 [321, 2026, 3731, 5436, 7141, 8846]
-6457403698081612683 [322, 2027, 3732, 5437, 7142, 8847]
-249253134865021274 [323, 2028, 3733, 5438, 7143, 8848]
7175689188223232054 [324, 2029, 3734, 5439, 7144, 8849]
797922791524667227 [325, 2030, 3735, 5440, 7145, 8850]
-7721830914144344532 [326, 2031, 3736, 5441, 7146, 8851]
4461337916441562136 [327, 2032, 3737, 5442, 7147, 8852]
-8572703248019005124 [328, 2033, 3738, 5443, 7148, 8853]
-8076042713739971065 [329, 2034, 3739, 5444, 7149, 8854]
-2568460255799008055 [330, 2035, 3740, 5445, 7150, 8855]
-77030079170841824 [331, 2036, 3741, 5446, 7151, 8856]
6753683496339348742 [332, 2037, 3742, 5447, 7152, 8857]
6264541606256347336 [333, 2038, 3743, 5448, 7153, 8858]
3747232567454458057 [334, 2039, 3744, 5449, 7154, 8859]
3336303187057722168 [335, 2040, 3745, 5450, 7155, 8860]
-5343049107382272070 [336, 2041, 3746, 5451, 7156, 8861]
4524996735423858071 [337, 2042, 3747, 5452, 7157, 8862]
-7068423969730776219 [338, 2043, 3748, 5453, 7158, 8863]
-8464872433812267233 [339, 2044, 3749, 5454, 7159, 8864]
-8592893216127384770 [340, 2045, 3750, 5455, 7160, 8865]
-4463276468978857104 [341, 2046, 3751, 5456, 7161, 8866]
8668369294518361491 [342, 2047, 3752, 5457, 7162, 8867]
9011273181009687551 [343, 2048, 3753, 5458, 7163, 8868]
-8795005924609756738 [344, 2049, 3754, 5459, 7164, 8869]
-9096910883154092311 [345, 2050, 3755, 5460, 7165, 8870]
2070103799383159885 [346, 2051, 3756, 5461, 7166, 8871]
-2992532590298497365 [347, 2052, 3757, 5462, 7167, 8872]
-426676405369725590 [348, 2053, 3758, 5463, 7168, 8873]
6108222805377876183 [349, 2054, 3759, 5464, 7169, 8874]
-4221639636916589050 [350, 2055, 3760, 5465, 7170, 8875]
-5605783355618310197 [351, 2056, 3761, 5466, 7171, 8876]
4488260143346001430 [352, 2057, 3762, 5467, 7172, 8877]
-5399096520717631 [353, 2058, 3763, 5468, 7173, 8878]
-6869256807534165761 [354, 2059, 3764, 5469, 7174, 8879]
4560562074748280547 [355, 2060, 3765, 5470, 7175, 8880]
-8217106208952411389 [356, 2061, 3766, 5471, 7176, 8881]
-3846531781991249426 [357, 2062, 3767, 5472, 7177, 8882]
-226506567127037041 [358, 2063, 3768, 5473, 7178, 8883]
4112551907332995965 [359, 2064, 3769, 5474, 7179, 8884]
-7369231999967088114 [360, 2065, 3770, 5475, 7180, 8885]
2255930473658188732 [361, 2066, 3771, 5476, 7181, 8886]
8546609891983663313 [362, 2067, 3772, 5477, 7182, 8887]
1951329201672454073 [363, 2068, 3773, 5478, 7183, 8888]
8753080770819225622 [364, 2069, 3774, 5479, 7184, 8889]
-1046431353725100609 [365, 2070, 3775, 5480, 7185, 8890]
7707044253806527695 [366, 2071, 3776, 5481, 7186, 8891]
8395811479782214756 [367, 2072, 3777, 5482, 7187, 8892]
475877328754129873 [368, 2073, 3778, 5483, 7188, 8893]
-2904301867514341090 [369, 2074, 3779, 5484, 7189, 8894]
4372938871546223978 [370, 2075, 3780, 5485, 7190, 8895]
-3605569246929716533 [371, 2076, 3781, 5486, 7191, 8896]
1411961776066151546 [372, 2077, 3782, 5487, 7192, 8897]
5855731879493753824 [373, 2078, 3783, 5488, 7193, 8898]
-3801510875534065580 [374, 2079, 3784, 5489, 7194, 8899]
-2068418832795659277 [375, 2080, 3785, 5490, 7195, 8900]
5747203887242952751 [376, 2081, 3786, 5491, 7196, 8901]
8451778987830340865 [377, 2082, 3787, 5492, 7197, 8902]
6529589759060199264 [378, 2083, 3788, 5493, 7198, 8903]
-6638894890056870769 [379, 2084, 3789, 5494, 7199, 8904]
-4917895519587205761 [380, 2085, 3790, 5495, 7200, 8905]
7993993894145295589 [381, 2086, 3791, 5496, 7201, 8906]
1961748355304614307 [382, 2087, 3792, 5497, 7202, 8907]
2239172004638549519 [383, 2088, 3793, 5498, 7203, 8908]
2208482355620170113 [384, 2089, 3794, 5499, 7204, 8909]
2665718690019765849 [385, 2090, 3795, 5500, 7205, 8910]
-4417403952477946075 [386, 2091, 3796, 5501, 7206, 8911]
-3009821088570671328 [387, 2092, 3797, 5502, 7207, 8912]
-7038640300288256373 [388, 2093, 3798, 5503, 7208, 8913]
6908106339882173539 [389, 2094, 3799, 5504, 7209, 8914]
